Category,Description,RAM,File Size,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,App
"['Action', 'Strategy', 'Simulation']","Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC s premier military game. Authentic, diverse, open - Arma 3 sends you to war.",4,32,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,AMD Radeon HD 5670,AMD Radeon HD 5670,AMD Radeon HD 5670,594,594,801,801,801,Arma 3
"['Action', 'Adventure']","Sea of Thieves is a smash-hit pirate adventure game, offering the quintessential pirate experience of plundering lost treasures, intense battles, vanquishing sea monsters and more. Dive in with this revised edition of the game, which includes access to digital bonus media.",4,50,Intel Core 2 Quad Q9450,Intel Core 2 Quad Q9450,NVIDIA GeForce GTX 650,NVIDIA GeForce GTX 650,NVIDIA GeForce GTX 650,756,756,1749,1749,1749,Sea of Thieves
"['Action', 'Strategy', 'RPG']","From legendary game creator Hideo Kojima comes an all-new, genre-defying experience. Sam Bridges must brave a world utterly transformed by the Death Stranding. Carrying the disconnected remnants of our future in his hands, he embarks on a journey to reconnect the shattered world one step at a time.",8,80,Intel Core i5-3470,Intel Core i5-3470,AMD Radeon RX 560,AMD Radeon RX 560,AMD Radeon RX 560,23679,23679,3659,3659,3659,Death Stranding
"['Sports', 'Simulation', 'Free to Play']",The feverish football game with a worldwide total of 850 million downloads is waiting for you! Play eFootball with users around the world!,8,50,Intel Core i5-2300,Intel Core i5-2300,AMD Radeon HD 7790,AMD Radeon HD 7790,AMD Radeon HD 7790,14365,14365,3090,3090,3090,eFootball 2022
"['Action', 'Fighting']",Mortal Kombat is back and better than ever in the next evolution of the iconic franchise.,8,0,Intel Core i5-750,Intel Core i5-750,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,1326,1326,5030,5030,5030,Mortal Kombat 11
"['Action', 'Casual', 'Adventure']",Battlefield 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise.,8,100,Intel Core i5-6600K,Intel Core i5-6600K,AMD Radeon RX 560,AMD Radeon RX 560,AMD Radeon RX 560,27629,27629,3659,3659,3659,Battlefield 2042
"['Action', 'RPG', 'FPS']","First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.",4,40,AMD FX-8320,AMD FX-8320,NVIDIA GeForce GTX 560,NVIDIA GeForce GTX 560,NVIDIA GeForce GTX 560,3150,3150,2770,2770,2770,Dying Light
"['Action', 'Sports', 'FPS']","Discover the epic conclusion of the long-time clan warfare between members of the Mishima family. Powered by Unreal Engine 4, the legendary fighting game franchise fights back with stunning story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals.",6,60,Intel Core i3-4160,Intel Core i3-4160,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,15300,15300,4023,4023,4023,TEKKEN 7
"['Action', 'Adventure', 'FPS']","Assassin s Creed Unity tells the story of Arno, a young man who embarks upon an extraordinary journey to expose the true powers behind the French Revolution. In the brand new co-op mode, you and your friends will also be thrown in the middle of a ruthless struggle for the fate of a nation.",6,50,Intel Core i5-2500K,Intel Core i5-2500K,NVIDIA GeForce GTX 680,NVIDIA GeForce GTX 680,NVIDIA GeForce GTX 680,19760,19760,5598,5598,5598,Assassin's Creed Unity
"['Action', 'FPS', 'Third-person shooter']","There is a world beyond ours. Beyond nations, justice, ethics. It never sleeps. It exists everywhere. And once you enter....there is no going back. Welcome to the World of Assassination. You are Agent 47, the worlds ultimate assassin.",8,50,Intel Core i5-2500K,Intel Core i5-2500K,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,19760,19760,4602,4602,4602,HITMAN
"['Action', 'RPG']","Their Flesh is Your Armor. Mortal Shell is a deep action-RPG that tests your sanity and resilience in a shattered world. Survival demands superior awareness, precision, and instincts. Possess lost warriors, track down hidden sanctums of the devout, and face formidable foes.",8,12,Intel Core i5-4590,Intel Core i5-4590,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,31400,31400,9642,9642,9642,Mortal Shell
"['Action', 'Racing', 'Sports']","Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special Mutators that let you change the rules entirely, hockey and...",2,7,Intel Core 2 Duo E4600,Intel Core 2 Duo E4600,ATI Radeon HD 4850,ATI Radeon HD 4850,ATI Radeon HD 4850,594,594,941,941,941,Rocket League
"['RPG', 'Indie', 'Simulation']","Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..",8,7,Intel Core 2 Quad Q9705,Intel Core 2 Quad Q9705,AMD Radeon HD 5450,AMD Radeon HD 5450,AMD Radeon HD 5450,756,756,136,136,136,Project Zomboid
"['Strategy', 'Simulation']",Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,4,4,Intel Core 2 Duo T7600,Intel Core 2 Duo T7600,NVIDIA GeForce GTX 260,NVIDIA GeForce GTX 260,NVIDIA GeForce GTX 260,594,594,1208,1208,1208,Cities Skylines
['Unknown'],Play as Nathan Drake and Chloe Frazer in their own standalone adventures as they confront their pasts and forge their own legacies. This game includes the critically acclaimed single-player stories from both UNCHARTED 4: A Thief s End and UNCHARTED: The Lost Legacy.,8,126,Intel Core i5-4330M,Ryzen 3 1200,NVIDIA GeForce GTX 960,Radeon R9 290X,NVIDIA GeForce GTX 960,3190,6261,6115,8513,6115,UNCHARTED™: Legacy of Thieves Collection
"['Action', 'Strategy', 'RPG']","Arena Breakout: Infinite is an immersive tactical extraction FPS. Join a fight to shoot, loot, and raid your path to fortune. With realistic visuals and true-to-life audio, push through tough battles where the stakes are high and the rewards even higher.",16,60,Intel Core i5-7500,Ryzen 5 1400,NVIDIA GeForce GTX 960,Radeon RX 560,NVIDIA GeForce GTX 960,19760,7735,6115,3659,6115,Arena Breakout: Infinite
['Unknown'],"In the near future, Detroit is a city rejuvenated by androids. As this brave new world suddenly descends into chaos, you take on the role of Kara, a female android trying to find her role in an ever-changing society. Discover what it means to be human through the unblinking eyes of a machine.",8,0,Intel Core i7-3770,Intel Core i7-3770,NVIDIA GeForce GTX 780 Ti,NVIDIA GeForce GTX 780 Ti,NVIDIA GeForce GTX 780 Ti,36551,36551,9459,9459,9459,Detroit: Become Human
"['Action', 'RPG', 'Indie']","In the distant future when civilization is on the verge of extinction, people follow the legend of the Elysium in the last city, Havenswell. In this post-apocalyptic wasteland sci-fi ARPG, you will play as Arrisa, a Blader with immortality, and explore the city ruin to find the hope of a new life.",12,30,Intel Core i5-8400,Intel Core i5-8400,,,,19102,19102,0,0,0,AI Limit
"['Action', 'Adventure', 'FPS']","Welcome to San Francisco. Play as Marcus, a brilliant young hacker, and join the most notorious hacker group, DedSec. Your objective: execute the biggest hack of history.",6,27,AMD FX-6300,AMD FX-6300,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,4223,4223,4023,4023,4023,Watch Dogs 2
['Unknown'],"The Battlefield series goes back to its roots in a never-before-seen portrayal of World War 2. Take on all-out multiplayer with your squad in modes like the vast Grand Operations and the cooperative Combined Arms, or witness human drama set against global combat in the single-player War Stories. As you fight in epic, unexpected locations across the globe, enjoy the richest and most immersive Battlefield yet.",8,50,Intel Core i5-6600K,Intel Core i5-6600K,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,27629,27629,5030,5030,5030,Battlefield 5
"['Action', 'Strategy', 'Simulation']","Experience authentic Cold War combat and join the struggle for the sprawling, mid-Atlantic island of Everon and its smaller, offshore territory, Arland or take on the role of Game Master and create your very own scenarios for others to enjoy.",8,20,Intel Core i5-4460,Intel Core i5-4460,,,,25352,25352,0,0,0,Arma Reforger
"['Action', 'Strategy', 'RPG']","Unite the Veilguard and defy the gods in Dragon Age : The Veilguard, an immersive single-player RPG.",16,100,Intel Core i5-8400,Ryzen 3 3300X,NVIDIA GeForce GTX 970,Radeon R9 290X,NVIDIA GeForce GTX 970,19102,12595,9642,8513,9642,Dragon Age Veilguard
"['Action', 'Adventure', 'FPS']",Call of Duty : Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.,6,100,Intel Core i3-530,Intel Core i3-530,AMD Radeon HD 6970,AMD Radeon HD 6970,AMD Radeon HD 6970,8553,8553,2840,2840,2840,Call of Duty Black Ops 3
"['Action', 'Adventure', 'FPS']","The year is 1715. Pirates rule the Caribbean and have established their own lawless Republic where corruption, greediness and cruelty are commonplace.Among these outlaws is a brash young captain named Edward Kenway.",2,30,Intel Core 2 Quad Q8400,Intel Core 2 Quad Q8400,ATI Radeon HD 4870,ATI Radeon HD 4870,ATI Radeon HD 4870,756,756,1386,1386,1386,Assassin's Creed IV Black Flag
['Unknown'],"Free Fire MAX is designed exclusively to deliver premium gameplay experience in a Battle Royale. Enjoy a variety of exciting game modes with all Free Fire players via exclusive Firelink technology. Experience combat like never before with Ultra HD resolutions and breathtaking effects. Ambush, snipe, and survive; There is only one goal: to survive and be the last one standing. Free Fire, Battle In Style!",8,10,Intel Core i7-2600,Intel Core i7-2600,,,Intel UHD 630,21435,21435,614,614,614,Free Fire MAX
"['Action', 'RPG', 'Adventure']","Assassins Creed Valhalla puts you in the role of Eivor, a fearless viking warrior trying to find a new home in 9th century England, but to do so he must fight and conquer. Combine classic AC fighting mechanics with new viking weaponry and tactics. Conquer and fight in Ubisoft s AC Valhalla.",8,50,Intel Core i5-4460,Intel Core i5-4460,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,25352,25352,6115,6115,6115,Assassin's Creed Valhalla
"['Action', 'RPG', 'Adventure']",Assassins Creed Odyssey is an action-adventure game where you choose the hero you want to become. Embark on an epic journey from outcast to living legend to uncover the secrets of your past and change the fate of Ancient Greece. Fight in visceral battles on both land and sea to become a true hero,8,46,Intel Core i5-2400,Intel Core i5-2400,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,19102,19102,4023,4023,4023,Assassin's Creed Odyssey
"['Action', 'RPG', 'Indie']","A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin s patronage!",4,1,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,,,,594,594,0,0,0,Valheim
"['Action', 'Strategy']","The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos, a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemons or command them?",6,120,Intel Core i3-2120,Intel Core i3-2120,AMD Radeon RX 460,AMD Radeon RX 460,AMD Radeon RX 460,12419,12419,4092,4092,4092,Total War: Warhammer 3
"['Indie', 'Adventure']","Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive.",4,20,Intel Core i5-4200M,Intel Core i5-4200M,,,Intel HD 4600,2806,2806,629,629,629,Subnautica
"['Action', 'Strategy', 'Violent']","Death Awaits. Agent 47 returns in HITMAN 3, the dramatic conclusion to the World of Assassination trilogy.",8,80,Intel Core i5-2500K,Intel Core i5-2500K,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,19760,19760,4023,4023,4023,Hitman 3
"['Action', 'RPG']","ELDEN RING NIGHTREIGN is a standalone adventure within the ELDEN RING universe, crafted to offer players a new gaming experience by reimagining the game s core design.",12,30,Intel Core i5-10600,Ryzen 5 5500,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,21435,19345,10081,10081,10081,Elden Ring Nightreign
"['Action', 'FPS']","Trapped forever in a realm of eldritch evil where even death is not an escape, four determined Survivors face a bloodthirsty Killer in a vicious game of nerve and wits. Pick a side and step into a world of tension and terror with horror gamings best asymmetrical multiplayer.",8,25,Intel Core i3-4170,Intel Core i3-4170,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,15300,15300,2273,2273,2273,Dead by Daylight
"['Action', 'Adventure']","From the acclaimed Far Cry series, Far Cry 6 brings even more to the table. Discover and use ever more interesting weapons and tools while taking down the Castillos , tyrannical dictators of the fictional land of Yara, the largest Far Cry map to date. Rally the people and take back control in Ubisofts Far Cry 6.",8,60,Intel Core i5-4460,Intel Core i5-4460,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,25352,25352,6115,6115,6115,Far Cry 6
['Unknown'],"Don the mask and join the Phantom Thieves of Hearts as they stage grand heists, infiltrate the minds of the corrupt, and make them change their ways!",8,41,Intel Core i7-4790,Intel Core i7-4790,GeForce GTX 650 Ti,AMD Radeon R7 360,GeForce GTX 650 Ti,41711,41711,2528,3136,2528,Persona 5 Royal
"['Action', 'Strategy', 'Indie']","Squad is a tactical FPS that provides authentic combat experiences through teamwork, communication, and realistic combat. It bridges the gap between arcade shooter and military realism with 100-player battles, combined-arms warfare, and base building.",8,35,Intel Core i5-2500K,Intel Core i5-2500K,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,19760,19760,4602,4602,4602,Squad
"['Action', 'RPG', 'Adventure']","Humanity is fighting a losing battle against the virus. Experience a post-apocalyptic open world overrun by hordes of zombies, where your parkour and combat skills are key to survival. Traverse the City freely during the day, but watch the monsters take over during the night.",8,60,Intel Core i3-9100,Intel Core i3-9100,AMD Radeon RX 560,AMD Radeon RX 560,AMD Radeon RX 560,12419,12419,3659,3659,3659,Dying Light 2
"['Sports', 'Simulation']","Powered by Football , EA SPORTS FIFA 22 brings the game even closer to the real thing with fundamental gameplay advances and a new season of innovation across every mode.",8,50,AMD Athlon X4 880K,AMD Athlon X4 880K,AMD Radeon HD 7850,AMD Radeon HD 7850,AMD Radeon HD 7850,3664,3664,3886,3886,3886,FIFA 22
"['Action', 'FPS', 'Fighting']","Experience the Next Generation of the #1 Fighting Franchise. Mortal Kombat X combines unparalleled, cinematic presentation with all new gameplay.",3,36,Intel Core i5-750,Intel Core i5-750,ATI Radeon HD 5850,ATI Radeon HD 5850,ATI Radeon HD 5850,1326,1326,1968,1968,1968,Mortal Kombat X
"['Strategy', 'RPG', 'Simulation']","Love, fight, scheme, and claim greatness. Determine your noble house s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty s bloodline in the rich and larger-than-life simulation of the Middle Ages.",6,8,Intel Core i3-2120,Intel Core i3-2120,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,12419,12419,4602,4602,4602,Crusader Kings 3
"['Action', 'FPS', 'Third-person shooter']","Five years ago Carl Johnson escaped from the pressures of life in Los Santos, San Andreas... a city tearing itself apart with gang trouble, drugs and corruption. Where filmstars and millionaires do their best to avoid the dealers and gangbangers. Now, its the early 90s. Carls got to go home.",1,1,Intel Pentium Pentium III,Intel Pentium Pentium III,GeForce3,GeForce3,GeForce3,100,100,3,3,3,GTA: San Andreas
"['Action', 'Adventure']","The story of Cal Kestis continues in STAR WARS Jedi: Survivor , a galaxy-spanning, third-person, action-adventure game.",8,155,Intel Core i7-7700,Ryzen 5 1400,NVIDIA GeForce GTX 1070,Radeon RX 580,NVIDIA GeForce GTX 1070,30444,7735,13498,8822,13498,Star Wars Jedi: Survivor
"['Action', 'Strategy', 'RPG']","An online multiplayer survival game, now with sorcery, set in the lands of Conan the Barbarian. Survive in a vast open world sandbox, build your home into a kingdom, and dominate your enemies in single or multiplayer.",6,50,AMD FX-6300,AMD FX-6300,NVIDIA GeForce GTX 770,NVIDIA GeForce GTX 770,NVIDIA GeForce GTX 770,4223,4223,5941,5941,5941,Conan Exiles
"['Action', 'RPG', 'Indie']","Then, there was fire. Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning high-definition detail running at 60fps.",6,8,Intel Core i5-2300,Intel Core i5-2300,AMD Radeon HD 6870,AMD Radeon HD 6870,AMD Radeon HD 6870,14365,14365,2208,2208,2208,DARK SOULS: REMASTERED
"['Action', 'RPG', 'Adventure']","ASSASSIN S CREED ORIGINS IS A NEW BEGINNING *The Discovery Tour by Assassin s Creed : Ancient Egypt is available now as a free update!* Ancient Egypt, a land of majesty and intrigue, is disappearing in a ruthless fight for power.",6,42,AMD FX-6350,AMD FX-6350,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,4623,4623,4023,4023,4023,Assassin's Creed Origins
['Unknown'],DRAGON BALL: Sparking! ZERO takes the legendary gameplay of the Budokai Tenkaichi series and raises it to whole new levels. Make yours the destructive power of the strongest fighters ever to appear in Dragon Ball!,8,29,Intel Core i5-9600K,Ryzen 5 2600,NVIDIA GeForce GTX 980,Radeon RX 590,NVIDIA GeForce GTX 980,27629,13167,11112,9373,11112,DRAGON BALL: Sparking! ZERO
"['Action', 'FPS']","Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty : Black Ops II propels players into a near future Cold War",2,16,Intel Core 2 Duo E8200,Intel Core 2 Duo E8200,ATI Radeon HD 3870,ATI Radeon HD 3870,ATI Radeon HD 3870,594,594,551,551,551,Call of Duty Black Ops 2
"['RPG', 'MMO', 'JRPG']","Join over 30 million adventurers worldwide and take part in an epic and ever-changing FINAL FANTASY. Experience an unforgettable story, exhilarating battles, and a myriad of captivating environments to explore.",8,140,Intel Core i7-7700,Intel Core i7-7700,GeForce GTX 970,AMD Radeon RX 480,GeForce GTX 970,30444,30444,9642,8569,9642,FINAL FANTASY 14
['Unknown'],"Celebrating its first year of delighting millions of global players, the award-winning and best-selling strategy franchise continues with Age of Empires IV: Anniversary Edition, putting you at the center of even more epic historical battles that shaped the world.",8,50,Intel Core i5-6300U,Intel Core i5-6300U,AMD Radeon RX Vega,AMD Radeon RX Vega,AMD Radeon RX Vega,3214,3214,1527,1527,1527,Age of Empires 4
"['Action', 'FPS']","A deadly virus engulfs the residents of Raccoon City in September of 1998, plunging the city into chaos as flesh eating zombies roam the streets for survivors. An unparalleled adrenaline rush, gripping storyline, and unimaginable horrors await you. Witness the return of Resident Evil 2.",8,26,Intel Core i5-4460,FX-6300,NVIDIA GeForce GTX 960,Radeon RX 460,NVIDIA GeForce GTX 960,25352,4223,6115,4092,6115,Resident Evil 2
"['Action', 'Adventure', 'Sexual Content']","After Lincoln Clays surrogate family, the black mob, is betrayed and killed by the Italian Mafia, Lincoln builds a new family and blazes a path of revenge through the Mafioso responsible.",6,50,Intel Core i5-2500K,Intel Core i5-2500K,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,19760,19760,4602,4602,4602,Mafia III
"['Action', 'RPG', 'Adventure']","Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, you ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline.",8,23,AMD FX-6100,AMD FX-6100,AMD Radeon RX 550,AMD Radeon RX 550,AMD Radeon RX 550,3696,3696,2688,2688,2688,Monster Hunter Rise
"['Action', 'Adventure']","Become a Ghost, fighting against a rogue spec ops faction called the Wolves, in the latest Tom Clancys Ghost Recon !",8,67,Intel Core i5-4460,Intel Core i5-4460,,,,25352,25352,0,0,0,Tom Clancy's Ghost Recon Breakpoint
['Unknown'],"World War Z is a heart-pounding coop third-person shooter for up to 4 players featuring massive swarms of hundreds of zombies, focused on fast-paced, gruesomely spectacular action.",8,50,Intel Core i3-3220,Intel Core i3-3220,NVIDIA GeForce GTX 650 Ti,NVIDIA GeForce GTX 650 Ti,NVIDIA GeForce GTX 650 Ti,14582,14582,2528,2528,2528,World War Z: Aftermath
"['Action', 'RPG', 'Casual']","Atelier Yumia is a story about memory . Explore the field to gather materials and synthesis items. The items you create can be key to advancing the story and can also be used in battles and exploration. Additionally, you can create your own base with Building in the field.",8,40,Intel Core i3-8100,Intel Core i3-8100,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,12419,12419,7878,7878,7878,Atelier Yumia: The Alchemist of Memories & the Envisioned Land
"['Indie', 'Adventure', 'Simulation']","Raft throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!",4,6,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce GTX 560,NVIDIA GeForce GTX 560,NVIDIA GeForce GTX 560,594,594,2770,2770,2770,Raft
"['Action', 'FPS']","Embrace unrivaled destruction in Battlefield 4 . Revel in the glorious chaos of all-out war packed with rewarding, tactical challenges in an interactive environment.",4,30,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,ATI Radeon HD 3870,ATI Radeon HD 3870,ATI Radeon HD 3870,594,594,551,551,551,Battlefield 4
"['Action', 'FPS']",Hell s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,8,50,Intel Core i5-661,Intel Core i5-661,AMD Radeon R9 280,AMD Radeon R9 280,AMD Radeon R9 280,2482,2482,5542,5542,5542,DOOM Eternal
"['Action', 'Adventure', 'FPS']","Create a team with up to 3 friends in Tom Clancy s Ghost Recon Wildlands and enjoy the ultimate military shooter experience set in a massive, dangerous, and responsive open world.",6,50,AMD FX-4320,AMD FX-4320,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,3150,3150,4023,4023,4023,Tom Clancy's Ghost Recon Wildlands
"['Action', 'FPS', 'Third-person shooter']","Welcome to Vice City. Welcome to the 1980s. From the decade of big hair, excess and pastel suits comes a story of one mans rise to the top of the criminal pile.",8,45,Intel Core i5-6600K,Intel Core i5-6600K,,,,27629,27629,0,0,0,GTA: Vice City
"['Action', 'Strategy', 'Indie']","Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game.",12,30,Intel Core i5-6600,Intel Core i5-6600,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,21435,21435,6115,6115,6115,Hell Let Loose
"['Action', 'Racing']","Race to the top, definitely don t flop. Outsmart the cops, and enter weekly qualifiers for The Grand: the ultimate street race. Pack your garage with precision-tuned, custom rides, and light up the streets with your style.",8,50,Intel Core i5-8600,Intel Core i5-8600,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,21435,21435,6339,6339,6339,Need for Speed Unbound
"['Action', 'Adventure', 'FPS']","With over 1000 km of complete freedom from sky to seabed, Rico Rodriguez returns to unleash chaos in the most creative and explosive ways imaginable.",8,54,Intel Core i5-2500K,Intel Core i5-2500K,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,19760,19760,4602,4602,4602,Just Cause 3
"['Strategy', 'Simulation']",Anno 1800 Lead the Industrial Revolution! Welcome to the dawn of the Industrial Age. The path you choose will define your world. Are you an innovator or an exploiter? A conqueror or a liberator? How the world remembers your name is up to you.,8,40,Intel Core i5-4460,Intel Core i5-4460,AMD Radeon R9 270X,AMD Radeon R9 270X,AMD Radeon R9 270X,25352,25352,4871,4871,4871,Anno 1800
"['Action', 'Indie', 'Simulation']",Take on the role of a Japanese anime girl who wants to be noticed by her beloved Sempai. But remember that there are other girls who keep their eyes on Sempai and in love with him. All you have to do is eliminate them.,4,2,Intel Core i5-750,Intel Core i5-750,NVIDIA GeForce GT 1030,NVIDIA GeForce GT 1030,NVIDIA GeForce GT 1030,1326,1326,2429,2429,2429,Yandere Simulator
"['Action', 'RPG']","Experience the epic Horizon Forbidden West in its entirety with bonus content and the Burning Shores expansion included. The Burning Shores add-on contains additional content for Aloy s adventure, including new storylines, characters, and experiences in a stunning yet hazardous new area.",16,150,Intel Core i3-8100,Ryzen 3 1300X,NVIDIA GeForce GTX 1650,Radeon RX 5500 XT,NVIDIA GeForce GTX 1650,12419,6941,7878,9091,7878,Horizon Forbidden West Complete Edition
"['Action', 'FPS', 'Third-person shooter']","The original assassin is back! Betrayed by the Agency and hunted by the police, Agent 47 finds himself pursuing redemption in a corrupt and twisted world.",2,24,Intel Core 2 Duo U7600,Intel Core 2 Duo U7600,AMD Radeon HD 3450,AMD Radeon HD 3450,AMD Radeon HD 3450,594,594,182,182,182,Hitman: Absolution
['Unknown'],"From legendary game creator Hideo Kojima comes the next genre-defying experience, following the events immediately after Death Stranding. As Sam Bridges, your mission is to deliver hope and security with the help of the Drawbridge organization. Can you reunite the shattered world, even as familiar faces return to haunt you?",12,100,Intel Core i7-3770S,Intel Core i7-3770S,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,6193,6193,10081,10081,10081,Death Stranding 2 On the Beach
"['Action', 'RPG', 'JRPG']","NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.",4,50,Intel Core i3-2100,Intel Core i3-2100,AMD Radeon R9 270X,AMD Radeon R9 270X,AMD Radeon R9 270X,12419,12419,4871,4871,4871,NieR:Automata
"['Action', 'Adventure', 'FPS']","In todays hyper-connected world, Chicago operates under ctOS, the most advanced computer network in America.",6,25,Intel Core 2 Quad Q8400,Intel Core 2 Quad Q8400,ATI Radeon HD 5770,ATI Radeon HD 5770,ATI Radeon HD 5770,756,756,1345,1345,1345,Watch Dogs
"['Action', 'Free to Play', 'Early Access']","STEEL HUNTERS is a Free-to-Play, PvPvE shooter with futuristic mech battles. Level up your Hunter and upgrade your arsenal to turn rivals into scrap. Choose your playstyle and combat tactics against 5 other duo teams. Only one can extract from the Hunting Grounds.",16,32,Intel Core i5-8400,Intel Core i5-8400,,,,19102,19102,0,0,0,STEEL HUNTERS
"['Action', 'Adventure', 'FPS']","Ride and fight into a deadly, post pandemic America. Play as Deacon St. John, a drifter and bounty hunter who rides the broken road, fighting to survive while searching for a reason to live in this open-world action-adventure game.",8,70,Intel Core i5-2500K,Intel Core i5-2500K,NVIDIA GeForce GTX 780,NVIDIA GeForce GTX 780,NVIDIA GeForce GTX 780,19760,19760,7988,7988,7988,Days Gone
"['Action', 'Adventure', 'MMO']","In Gray Zone Warfare, realism meets tactics in an open-world MMOFPS where every move matters. Deploy with a Private Military Company, survive intense PvEvP or PvE encounters against players and AI, unravel the secrets of Lamang Island, and thrive through hard-earned progression.",16,40,Intel Core i5-8600,Ryzen 5 2600,NVIDIA GeForce GTX 1080,Radeon RX 5700,NVIDIA GeForce GTX 1080,21435,13167,15583,14336,15583,Gray Zone Warfare
"['Action', 'Adventure', 'FPS']","As Wei Shen, an undercover cop trying to take down the Triads, youll have to fight your way up the organization without blowing your cover.",2,15,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,594,594,462,462,462,Sleeping Dogs
